Date,Open,High,Low,Close,Adj Close,Volume,Dnevna rast,Povprečje,Rast v %
2018-07-04,464.151,481.436,455.185,467.318,467.318,1549769984,3.167,465.7345,0.6823
2018-07-05,467.287,483.225,464.629,474.412,474.412,1828610048,7.125,470.8495,1.5248
2018-07-06,474.357,479.652,457.615,474.012,474.012,1627609984,-0.345,474.1845,-0.0727
2018-07-07,474.057,491.66,466.836,491.66,491.66,1358360064,17.603,482.8585,3.7133
2018-07-08,492.068,503.199,488.417,489.119,489.119,1344560000,-2.949,490.5935,-0.5993
2018-07-09,488.878,490.852,475.175,476.682,476.682,1533799936,-12.196,482.78,-2.4947
2018-07-10,476.162,478.318,433.96,434.424,434.424,1789069952,-41.738,455.293,-8.7655
2018-07-11,434.515,447.316,429.507,446.518,446.518,1422470016,12.003,440.5165,2.7624
2018-07-12,446.502,446.502,422.81,430.074,430.074,1495440000,-16.428,438.288,-3.6793
2018-07-13,430.741,442.363,430.741,434.027,434.027,1489670016,3.286,432.384,0.7629
2018-07-14,434.511,439.434,431.474,436.086,436.086,1235820032,1.575,435.2985,0.3625
2018-07-15,435.883,454.001,433.921,449.85,449.85,1350160000,13.967,442.8665,3.2043
2018-07-16,450.425,480.658,446.798,480.658,480.658,1858680064,30.233,465.5415,6.7121
2018-07-17,480.077,508.78,468.915,501.002,501.002,2288100096,20.925,490.5395,4.3587
2018-07-18,500.838,513.433,474.359,480.513,480.513,2371559936,-20.325,490.6755,-4.0582
2018-07-19,480.628,483.24,465.142,469.619,469.619,2068739968,-11.009,475.1235,-2.2905
2018-07-20,469.307,469.307,443.693,450.698,450.698,1821350016,-18.609,460.0025,-3.9652
2018-07-21,450.679,468.083,445.776,462.436,462.436,1504310016,11.757,456.5575,2.6087
2018-07-22,462.438,470.898,458.119,459.657,459.657,1338589952,-2.781,461.0475,-0.6014
2018-07-23,459.439,469.766,449.728,450.853,450.853,1596999936,-8.586,455.146,-1.8688
2018-07-24,451.136,481.142,450.565,479.373,479.373,2287520000,28.237,465.2545,6.2591
2018-07-25,479.906,482.868,466.474,472.493,472.493,1930780032,-7.413,476.1995,-1.5447
2018-07-26,472.331,483.696,461.424,464.037,464.037,1621560064,-8.294,468.184,-1.756
2018-07-27,464.009,473.222,458.291,469.666,469.666,1734259968,5.657,466.8375,1.2192
2018-07-28,469.678,471.594,462.989,466.898,466.898,1531890048,-2.78,468.288,-0.5919
2018-07-29,466.915,470.356,462.712,466.665,466.665,1631910016,-0.25,466.79,-0.0535
2018-07-30,466.827,467.952,448.641,457.081,457.081,2141590000,-9.746,461.954,-2.0877
2018-07-31,457.245,457.245,430.444,433.867,433.867,1820680000,-23.378,445.556,-5.1128
2018-08-01,433.869,435.457,410.464,420.747,420.747,1888060000,-13.122,427.308,-3.0244
2018-08-02,420.806,425.034,410.309,412.621,412.621,1569300000,-8.185,416.7135,-1.9451
2018-08-03,412.567,420.549,399.91,418.262,418.262,1722340000,5.695,415.4145,1.3804
2018-08-04,418.237,420.186,403.776,407.252,407.252,1466540000,-10.985,412.7445,-2.6265
2018-08-05,407.346,413.716,402.432,410.516,410.516,1396820000,3.17,408.931,0.7782
2018-08-06,410.567,414.54,403.315,406.658,406.658,1384880000,-3.909,408.6125,-0.9521
2018-08-07,406.801,411.405,376.077,380.215,380.215,1828350000,-26.586,393.508,-6.5354
2018-08-08,379.892,380.671,353.734,356.613,356.613,2016080000,-23.279,368.2525,-6.1278
2018-08-09,356.971,370.946,353.614,365.588,365.588,1616610000,8.617,361.2795,2.4139
2018-08-10,365.776,367.045,329.586,334.176,334.176,1699400000,-31.6,349.976,-8.6392
2018-08-11,334.264,334.264,308.488,322.112,322.112,1790370000,-12.152,328.188,-3.6354
2018-08-12,320.823,328.59,318.602,319.57,319.57,1625420000,-1.253,320.1965,-0.3906
2018-08-13,320.21,323.551,284.934,286.495,286.495,1751190000,-33.715,303.3525,-10.529
2018-08-14,286.365,286.365,254.65,278.932,278.932,2137850000,-7.433,282.6485,-2.5956
2018-08-15,280.387,303.59,280.119,282.364,282.364,1878150000,1.977,281.3755,0.7051
2018-08-16,282.741,298.476,280.928,288.046,288.046,1552970000,5.305,285.3935,1.8763
2018-08-17,287.683,316.17,287.346,315.729,315.729,1995460000,28.046,301.706,9.7489
2018-08-18,316.791,320.446,286.551,295.812,295.812,1764020000,-20.979,306.3015,-6.6223
2018-08-19,295.67,307.098,291.332,300.834,300.834,1447910000,5.164,298.252,1.7465
2018-08-20,301.381,304.372,273.511,274.315,274.315,1413790000,-27.066,287.848,-8.9807
2018-08-21,273.331,285.97,273.331,281.944,281.944,1164120000,8.613,277.6375,3.1511
2018-08-22,281.968,297.486,264.998,271.341,271.341,1507660000,-10.627,276.6545,-3.7689
2018-08-23,271.748,279.546,271.09,277.104,277.104,1271160000,5.356,274.426,1.9709
2018-08-24,278.111,283.302,273.86,282.967,282.967,1450170000,4.856,280.539,1.7461
2018-08-25,283.281,283.515,278.471,279.646,279.646,1208360000,-3.635,281.4635,-1.2832
2018-08-26,279.525,279.525,272.444,275.197,275.197,1206650000,-4.328,277.361,-1.5483
2018-08-27,275.35,285.603,273.65,285.603,285.603,1406790000,10.253,280.4765,3.7236
